Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2030
1.A.3.a. Domestic aviation,WAM,ESR,2.01225,1.97773,1.94321,1.9087,1.87418,1.87418,1.87418,1.87418,1.87418,1.87418,1.87470485402797,1.87559768288461,1.87649051174124,1.87738334059788,1.87827616945451,1.87896469324269,1.87965321703087,1.88034174081904,1.88103026460722,1.88171878839539,1.88240731218357,1.88309583597175,1.88378435975992,1.8844728835481,1.88516140733628,1.88584993112445,1.88653845491263,1.8872269787008,1.88791550248898,1.88860402627716,2.01224750486689,1.87418145750718,1.87418145750718
1.A.3.a. Domestic aviation,WAM,ETS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.A.3.a. Domestic aviation,WAM,Total,10.3569,9.27018,8.18346,7.09673,6.01001,6.01001,6.01001,6.01001,6.01001,6.01001,6.01169307097326,6.01455614194652,6.01741921291978,6.02028228389304,6.0231453548663,6.02535327238339,6.02756118990048,6.02976910741757,6.03197702493465,6.03418494245174,6.03639285996883,6.03860077748592,6.04080869500301,6.0430166125201,6.04522453003718,6.04743244755427,6.04964036507136,6.05184828258845,6.05405620010554,6.05626411762263,10.3569049523895,6.01001145750718,6.01001145750718
1.A.3.a. Domestic aviation,WEM,ESR,2.01225,1.97773,1.94321,1.9087,1.87418,1.87418,1.87418,1.87418,1.87418,1.87418,1.87470485521519,1.87559768391875,1.87649051262231,1.87738334132587,1.87827617002943,1.8789646940279,1.87965321802638,1.88034174202485,1.88103026468303,1.88171878868151,1.88240731178645,1.88309583511478,1.88378435844311,1.88447288177143,1.88516140509976,1.88584992842809,1.88653845175642,1.88722697508475,1.88791549841307,1.8886040217414,2.01224750486689,1.87418145750718,1.87418145750718
1.A.3.a. Domestic aviation,WEM,ETS,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1.A.3.a. Domestic aviation,WEM,Total,10.3569,9.27018,8.18346,7.09673,6.01001,6.01001,6.01001,6.01001,6.01001,6.01001,6.01169307478036,6.01455614526275,6.01741921574513,6.02028228622752,6.02314535670991,6.02535327490137,6.02756119309283,6.02976911128428,6.03197702517777,6.03418494336923,6.03639285869537,6.03860077473785,6.04080869078032,6.04301660682279,6.04522452286526,6.04743243890774,6.04964035495021,6.05184827099268,6.05405618703516,6.05626410307763,10.3569049523895,6.01001145750718,6.01001145750718
1.A.3.b. Road transportation,WAM,ESR,22960.13152,22822.36169,22684.59187,22546.82205,22409.05223,21002.05529,19595.05835,18188.06142,16781.06448,15374.06754,14960.3400448547,14546.6115197094,14132.8829945641,13719.1544694188,13305.4259442735,12975.9083370229,12646.3907297722,12316.8731225215,11987.3555152708,11657.8379080202,11328.3203007694,10998.8026935188,10669.2850862681,10339.7674790175,10010.2498717667,9680.73226451611,9351.21465726538,9021.69705001475,8692.17944276413,8362.6618355134,22960.1315175833,22409.0522260984,15374.0675422012
1.A.3.b. Road transportation,WAM,ETS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.A.3.b. Road transportation,WAM,Total,22960.13152,22822.36169,22684.59187,22546.82205,22409.05223,21002.05529,19595.05835,18188.06142,16781.06448,15374.06754,14960.3400448547,14546.6115197094,14132.8829945641,13719.1544694188,13305.4259442735,12975.9083370229,12646.3907297722,12316.8731225215,11987.3555152708,11657.8379080202,11328.3203007694,10998.8026935188,10669.2850862681,10339.7674790175,10010.2498717667,9680.73226451611,9351.21465726538,9021.69705001475,8692.17944276413,8362.6618355134,22960.1315175833,22409.0522260984,15374.0675422012
1.A.3.b. Road transportation,WEM,ESR,22960.13152,23317.59555,23675.05959,24032.52363,24389.98766,23920.30249,23450.61731,22980.93214,22511.24696,22041.56179,21939.778854852,21884.5437573863,21782.5433174746,21680.5428775629,21578.5424293158,21477.2775243967,21376.0126111422,21274.7476978877,21173.4827929685,21072.217879714,20970.9529720164,20869.6880629295,20768.4231538427,20667.1582447558,20565.893335669,20464.6284265821,20363.3635174953,20262.0986084085,20160.8336993216,20059.5687902348,22960.1315175833,24389.9876648493,22041.5617895754
