Category,Scenario,Gas,Gapfilled 2021,Gapfilled 2022,Gapfilled 2023,Gapfilled 2024,Gapfilled 2025,Gapfilled 2026,Gapfilled 2027,Gapfilled 2028,Gapfilled 2029,Gapfilled 2030,Gapfilled 2031,Gapfilled 2032,Gapfilled 2033,Gapfilled 2034,Gapfilled 2035,Gapfilled 2036,Gapfilled 2037,Gapfilled 2038,Gapfilled 2039,Gapfilled 2040,Gapfilled 2041,Gapfilled 2042,Gapfilled 2043,Gapfilled 2044,Gapfilled 2045,Gapfilled 2046,Gapfilled 2047,Gapfilled 2048,Gapfilled 2049,Gapfilled 2050,Reported Value 2021,Reported Value 2025,Reported Value 2026,Reported Value 2027,Reported Value 2028,Reported Value 2029,Reported Value 2030,Reported Value 2031,Reported Value 2032,Reported Value 2033,Reported Value 2034,Reported Value 2035,Reported Value 2036,Reported Value 2037,Reported Value 2038,Reported Value 2039,Reported Value 2040,Reported Value 2041,Reported Value 2042,Reported Value 2043,Reported Value 2044,Reported Value 2045,Reported Value 2046,Reported Value 2047,Reported Value 2048,Reported Value 2049,Reported Value 2050
1.A.2. Manufacturing industries and construction,WAM,ETS,31160.0,29449.725,27739.45,26029.175,24318.9,23216.56,22114.22,21011.88,19909.54,18807.2,18275.58,17743.96,17212.34,16680.72,16149.1,16402.64,16656.18,16909.72,17163.26,17416.8,17283.26,17149.72,17016.18,16882.64,16749.1,16747.24,16745.38,16743.52,16741.66,16739.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WAM,Total,53863.4,51718.8,49574.2,47429.6,45285.0,44296.0,43307.0,42318.0,41329.0,40340.0,39899.24,39458.48,39017.72,38576.96,38136.2,38251.96,38367.72,38483.48,38599.24,38715.0,38770.24,38825.48,38880.72,38935.96,38991.2,39113.4,39235.6,39357.8,39480.0,39602.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.2. Manufacturing industries and construction,WEM,ESR,22703.4,22269.075,21834.75,21400.425,20966.1,21079.44,21192.78,21306.12,21419.46,21532.8,21623.64,21714.48,21805.32,21896.16,21987.0,21849.26,21711.52,21573.78,21436.04,21298.3,21487.08,21675.86,21864.64,22053.42,22242.2,22366.24,22490.28,22614.32,22738.36,22862.4,22703.4303734834,20966.1228729473,,,,,21532.8164317053,,,,,21987.0367245672,,,,,21298.2762471205,,,,,22242.1867398812,,,,,22862.4167533708
1.A.2. Manufacturing industries and construction,WEM,ETS,31160.0,29449.725,27739.45,26029.175,24318.9,23216.56,22114.22,21011.88,19909.54,18807.2,18275.58,17743.96,17212.34,16680.72,16149.1,16402.64,16656.18,16909.72,17163.26,17416.8,17283.26,17149.72,17016.18,16882.64,16749.1,16747.24,16745.38,16743.52,16741.66,16739.8,31159.9795392941,24318.8944998389,,,,,18807.2131661863,,,,,16149.1399045188,,,,,17416.7606891547,,,,,16749.0519409602,,,,,16739.7755526756
1.A.2. Manufacturing industries and construction,WEM,Total,53863.4,51718.8,49574.2,47429.6,45285.0,44296.0,43307.0,42318.0,41329.0,40340.0,39899.24,39458.48,39017.72,38576.96,38136.2,38251.96,38367.72,38483.48,38599.24,38715.0,38770.24,38825.48,38880.72,38935.96,38991.2,39113.4,39235.6,39357.8,39480.0,39602.2,53863.4099127774,45285.0173727862,,,,,40340.0295978916,,,,,38136.176629086,,,,,38715.0369362751,,,,,38991.2386808414,,,,,39602.1923060463
1.A.3. Transport,WAM,ESR,100873.4,99340.3,97807.2,96274.1,94741.0,93624.94,92508.88,91392.82,90276.76,89160.7,87893.68,86626.66,85359.64,84092.62,82825.6,82732.38,82639.16,82545.94,82452.72,82359.5,82157.52,81955.54,81753.56,81551.58,81349.6,80463.5,79577.4,78691.3,77805.2,76919.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3. Transport,WAM,ETS,703.1,643.625,584.15,524.675,465.2,455.32,445.44,435.56,425.68,415.8,409.52,403.24,396.96,390.68,384.4,384.98,385.56,386.14,386.72,387.3,388.5,389.7,390.9,392.1,393.3,391.2,389.1,387.0,384.9,382.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3. Transport,WAM,Total,103279.8,101936.475,100593.15,99249.825,97906.5,96811.7,95716.9,94622.1,93527.3,92432.5,91002.14,89571.78,88141.42,86711.06,85280.7,85216.72,85152.74,85088.76,85024.78,84960.8,84692.24,84423.68,84155.12,83886.56,83618.0,82742.06,81866.12,80990.18,80114.24,79238.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3. Transport,WEM,ESR,100873.4,99340.3,97807.2,96274.1,94741.0,93624.94,92508.88,91392.82,90276.76,89160.7,87893.68,86626.66,85359.64,84092.62,82825.6,82732.38,82639.16,82545.94,82452.72,82359.5,82157.52,81955.54,81753.56,81551.58,81349.6,80463.5,79577.4,78691.3,77805.2,76919.1,100873.363216611,94740.9922216676,,,,,89160.6800662932,,,,,82825.5890992343,,,,,82359.5136869965,,,,,81349.6244663216,,,,,76919.1232694275
1.A.3. Transport,WEM,ETS,703.1,643.625,584.15,524.675,465.2,455.32,445.44,435.56,425.68,415.8,409.52,403.24,396.96,390.68,384.4,384.98,385.56,386.14,386.72,387.3,388.5,389.7,390.9,392.1,393.3,391.2,389.1,387.0,384.9,382.8,703.093675680184,465.15084,,,,,415.784523,,,,,384.380577,,,,,387.254679,,,,,393.26784,,,,,382.786929
1.A.3. Transport,WEM,Total,103279.8,101936.475,100593.15,99249.825,97906.5,96811.7,95716.9,94622.1,93527.3,92432.5,91002.14,89571.78,88141.42,86711.06,85280.7,85216.72,85152.74,85088.76,85024.78,84960.8,84692.24,84423.68,84155.12,83886.56,83618.0,82742.06,81866.12,80990.18,80114.24,79238.3,103279.811820877,97906.4946789326,,,,,92432.5488513526,,,,,85280.6980446934,,,,,84960.7500495237,,,,,83617.9966633273,,,,,79238.2820758381
1.A.3.a. Domestic aviation,WAM,ESR,13.4,17.3,21.2,25.1,29.0,29.34,29.68,30.02,30.36,30.7,29.0,27.3,25.6,23.9,22.2,22.52,22.84,23.16,23.48,23.8,23.06,22.32,21.58,20.84,20.1,52.34,84.58,116.82,149.06,181.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.A.3.a. Domestic aviation,WAM,Total,1716.7,1969.85,2223.0,2476.15,2729.3,2760.78,2792.26,2823.74,2855.22,2886.7,2727.96,2569.22,2410.48,2251.74,2093.0,2121.94,2150.88,2179.82,2208.76,2237.7,2169.2,2100.7,2032.2,1963.7,1895.2,1939.7,1984.2,2028.7,2073.2,2117.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
